narration,category
UPI/SWIGGY/PAYMENT/9876,Food
POS ZOMATO LTD GURGAON,Food
DOMINOS PIZZA HSR LAYOUT,Food
POS THIRD WAVE COFFEE INDIRANAGAR,Food
MCDONALDS INDIA PVT LTD,Food
CHAI POINT BENGALURU,Food
UPI/SWIGGY INSTAMART/GROCERY,Groceries
POS BIGBASKET BENGALURU,Groceries
AMAZON FRESH INDIA PVT LTD,Groceries
UPI/BLINKIT/COMMERCE,Groceries
ZEPTO NOW MARKETPLACE,Groceries
UPI/UBER INDIA SYSTEMS/RIDE,Transport
OLA CABS BENGALURU,Transport
RAPIDO BIKE TAXI,Transport
NAMMA METRO BMRCL RECHARGE,Transport
AMAZON PAY INDIA PVT LTD,Shopping
MYNTRA DESIGNS BENGALURU,Shopping
FLIPKART INTERNET PVT LTD,Shopping
NYKAA E RETAIL MUMBAI,Shopping
AJIO RELIANCE RETAIL,Shopping
BESCOM ELECTRICITY BILL PAYMENT,Bills
AIRTEL PREPAID RECHARGE,Bills
ACT FIBERNET BROADBAND,Bills
BWSSB WATER BILL,Bills
TATA POWER BILL PAYMENT,Bills
NETFLIX.COM SUBSCRIPTION,Entertainment
SPOTIFY INDIA MONTHLY,Entertainment
BOOKMYSHOW MUMBAI,Entertainment
PVR CINEMAS FORUM MALL,Entertainment
IRCTC RAIL CONNECT,Travel
MAKEMYTRIP INDIA PVT LTD,Travel
INDIGO AIRLINES BOOKING,Travel
OYO ROOMS HOSPITALITY,Travel
INDIAN OIL PETROL PUMP,Fuel
HP PETROL PUMP KORAMANGALA,Fuel
BHARAT PETROLEUM OUTLET,Fuel
SHELL FUEL STATION WHITEFIELD,Fuel
APOLLO PHARMACY BENGALURU,Health
PRACTO TECHNOLOGIES,Health
CULT FIT FITNESS,Health
1MG TECHNOLOGIES ONLINE,Health
ATM CASH WITHDRAWAL HDFC,Fees
ANNUAL FEE PLUS GST,Fees
LATE PAYMENT CHARGE,Fees
FOREX MARKUP FEE,Fees
