narration,category
UPI/SWIGGY/PAYMENT/9876,Food
POS ZOMATO LTD GURGAON,Food
UPI/SWIGGY INSTAMART/GROCERY,Groceries
POS BIGBASKET BENGALURU,Groceries
AMAZON FRESH INDIA PVT LTD,Groceries
UPI/BLINKIT/COMMERCE,Groceries
POS THIRD WAVE COFFEE INDIRANAGAR,Food
DOMINOS PIZZA HSR LAYOUT,Food
UPI/UBER INDIA SYSTEMS/RIDE,Transport
OLA CABS BENGALURU,Transport
NAMMA METRO BMRCL RECHARGE,Transport
RAPIDO BIKE TAXI,Transport
AMAZON PAY INDIA PVT LTD,Shopping
MYNTRA DESIGNS BENGALURU,Shopping
FLIPKART INTERNET PVT LTD,Shopping
NYKAA E RETAIL MUMBAI,Shopping
BESCOM ELECTRICITY BILL PAYMENT,Bills
AIRTEL PREPAID RECHARGE,Bills
ACT FIBERNET BROADBAND,Bills
BWSSB WATER BILL,Bills
NETFLIX.COM SUBSCRIPTION,Entertainment
SPOTIFY INDIA MONTHLY,Entertainment
BOOKMYSHOW MUMBAI,Entertainment
PVR CINEMAS FORUM MALL,Entertainment
IRCTC RAIL CONNECT,Travel
MAKEMYTRIP INDIA PVT LTD,Travel
INDIGO AIRLINES BOOKING,Travel
OYO ROOMS HOSPITALITY,Travel
INDIAN OIL PETROL PUMP,Fuel
HP PETROL PUMP KORAMANGALA,Fuel
BHARAT PETROLEUM OUTLET,Fuel
APOLLO PHARMACY BENGALURU,Health
PRACTO TECHNOLOGIES,Health
CULT FIT FITNESS,Health
ATM CASH WITHDRAWAL HDFC,Fees
ANNUAL FEE PLUS GST,Fees
LATE PAYMENT CHARGE,Fees
FOREX MARKUP FEE,Fees
